name,date,time,time_since_start,vicon_sequence,vicon_time_stamp,vicon_frame_id,vicon_child_frame_id,vicon_translation_x,vicon_translation_y,vicon_translation_z,vicon_rotation_x,vicon_rotation_y,vicon_rotation_z,vicon_rotation_w,int_imu_time_stamp,int_imu_acc_x,int_imu_acc_y,int_imu_acc_z,int_imu_gyro_x,int_imu_gyro_y,int_imu_gyro_z,int_imu_mag_x,int_imu_mag_y,int_imu_mag_z,ext_imu_time_stamp,ext_imu_acc_x,ext_imu_acc_y,ext_imu_acc_z,ext_imu_gyro_x,ext_imu_gyro_y,ext_imu_gyro_z,ext_imu_mag_x,ext_imu_mag_y,ext_imu_mag_z,dji_imu_sequence,dji_imu_time_stamp,dji_imu_frame_id,dji_imu_orientation_x,dji_imu_orientation_y,dji_imu_orientation_z,dji_imu_ang_vel_x,dji_imu_ang_vel_y,dji_imu_ang_vel_z,dji_imu_lin_acc_x,dji_imu_lin_acc_y,dji_imu_lin_acc_z,rc_sequence,rc_time_stamp,rc_frame_id,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_mode,rc_landing_gear
,,133749.094641,0.18193626403808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15128.0,-0.01,0.0,-1.0,-1.4,-1.71,-0.18,-10.35,46.81,-55.81,15138.0,-0.0,0.01,-1.01,-1.34,-1.65,-0.3,-10.95,46.36,-54.91,1556,1602848269.85531,1234,0.5717890651142179,-9.151083917133652,2.704566235172274,0.12113039978133977,1.473478878061368,2.1750472991654877,0.1629840353264752,1.3069902220605312,2.821384599026226,1555,1602848269.85531,4321,0.39782601594924927,1.145772933959961,2.5475547313690186,3.7551631927490234,4.887528419494629,5.751809120178223
,,133749.114907,0.20220184326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.0,-0.0,0.01,-0.99,-1.4,-1.71,-0.18,-11.7,47.71,-54.61,15158.0,-0.0,0.0,-1.01,-1.52,-1.71,-0.18,-11.7,47.71,-54.91,1558,1602848269.10574,1234,0.19116816511013945,-9.004486819327411,2.8134337159426064,0.8512675811554639,1.6053685294783757,2.905720598055785,0.9942204173011199,1.7946068677224807,2.746665899584971,1557,1602848269.10574,4321,0.620742917060852,1.709943413734436,2.7344372272491455,3.215989112854004,4.658101558685303,5.311277389526367
,,133749.135001,0.22229862213134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15168.0,0.0,0.01,-1.0,-1.52,-1.71,-0.18,-12.45,48.31,-55.81,15177.0,-0.0,0.01,-1.01,-1.4,-1.65,-0.18,-11.7,47.11,-54.31,1560,1602848269.12548,1234,0.9709640030545191,-9.287709955701587,2.278576729309828,0.6444284172067624,1.7917555101340747,2.7411295001713736,0.5727581429343581,1.8985462026811526,2.5538029437954135,1559,1602848269.12548,4321,0.32375821471214294,1.7699103355407715,2.8654160499572754,3.9424610137939453,4.742169380187988,5.399523735046387
,,133749.155174,0.24247217178344727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15241.0,-0.0,0.01,-1.01,-1.52,-1.65,-0.18,-9.3,47.86,-53.41,15251.0,-0.01,0.0,-1.01,-1.46,-1.65,0.0,-11.85,46.81,-55.81,1562,1602848269.145524,1234,0.3803535457454792,-9.69348148664202,2.1448286867794684,0.36768377062352986,1.343618065684042,2.1800825385950073,0.6933875483689521,1.1076558085044739,2.545539306801902,1561,1602848269.145524,4321,0.08828800171613693,1.1223753690719604,2.676072359085083,3.319143295288086,4.420932292938232,5.205182075500488
,,133749.178346,0.2656726837158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15261.0,-0.01,0.01,-1.0,-1.34,-1.65,-0.18,-10.8,46.81,-55.81,15270.0,-0.0,0.01,-0.99,-1.34,-1.77,-0.18,-10.65,47.71,-54.61,1564,1602848269.165644,1234,0.6421641888371123,-9.710280046505886,2.6123080829509044,0.5892150314014362,1.7966063064455202,2.8624898833565315,0.08454774317903657,1.1079368505393445,2.0177968205234897,1563,1602848269.165644,4321,0.2983369529247284,1.0649290084838867,2.640493392944336,3.4830563068389893,4.83833122253418,5.811018943786621
,,133749.197605,0.28491997718811035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15280.0,0.0,-0.0,-1.0,-1.4,-1.65,-0.37,-10.05,46.51,-55.81,15290.0,-0.01,0.0,-1.01,-1.4,-1.77,-0.37,-11.4,47.26,-54.46,1565,1602848269.175658,1234,0.737846728146623,-9.89097277120097,2.126731446048231,0.6770945452486246,1.6373866404312085,2.456097195748039,0.8682687183936552,1.5146671638086788,2.3290540046488157,1565,1602848269.187336,4321,0.21798619627952576,1.3579037189483643,2.790256977081299,3.119948387145996,4.13640832901001,5.066527843475342
,,133749.2162,0.3035085201263428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,-0.0,0.0,-1.01,-1.4,-1.71,-0.12,-11.25,47.11,-54.91,15310.0,-0.0,0.01,-1.02,-1.4,-1.65,-0.12,-10.8,48.31,-55.51,1568,1602848269.205534,1234,0.46638066140231094,-9.506245880863183,2.114031209951258,0.44326499709927736,1.7324193941848627,2.2558682235257805,0.45767205039277814,1.605541917992039,2.7994821476677885,1567,1602848269.205534,4321,0.3845647871494293,1.1506787538528442,2.9842965602874756,3.674781084060669,4.8538641929626465,5.756802082061768
,,133749.237265,0.3245995044708252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15320.0,-0.01,0.02,-1.01,-1.46,-1.71,-0.3,-10.95,47.41,-55.36,15330.0,0.0,0.0,-1.02,-1.4,-1.65,-0.18,-11.4,46.81,-54.76,1570,1602848269.225589,1234,0.8463862602599329,-9.78105853057266,2.1947739281040155,0.17717831563059017,1.6434706147516676,2.4341061030887694,0.24868427336668886,1.7513308752443288,2.348944327922712,1569,1602848269.225589,4321,0.6841822266578674,1.994819164276123,2.6759886741638184,3.983515501022339,4.860471725463867,5.179301738739014
,,133749.255599,0.34290242195129395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15340.0,-0.0,0.01,-1.0,-1.46,-1.65,-0.12,-11.1,47.56,-55.06,15350.0,-0.0,-0.0,-1.01,-1.52,-1.83,-0.24,-11.4,46.21,-54.76,1572,1602848269.245539,1234,0.5504678053722323,-9.248896662583364,2.4955640387377964,0.9803098274363684,1.177888397675669,2.0082316629761383,0.7966736835976154,1.8165982838618335,2.5130286976534797,1571,1602848269.245539,4321,0.16058319807052612,1.4059011936187744,2.1722779273986816,3.3969383239746094,4.898351192474365,5.477215766906738
,,133749.275357,0.3626558780670166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15360.0,-0.0,0.01,-1.01,-1.34,-1.71,-0.3,-11.4,48.31,-55.06,15370.0,-0.01,0.01,-1.01,-1.46,-1.71,-0.18,-12.0,46.66,-54.61,1574,1602848269.265532,1234,0.10235012744349081,-9.705506542734533,2.605678756657545,0.030792693760885892,1.0889119813668064,2.542221907443907,0.1050268041502973,1.8094995538676324,2.9948599141244445,1573,1602848269.265532,4321,0.2563721537590027,1.3932017087936401,2.5330653190612793,3.1545441150665283,4.538378715515137,5.325265407562256
